numid,vlanid,name,ipnet,mask,gateway,ip,cidr,size,ipnum
9,2200,TOIP,172.18.50.128/26,255.255.255.192,172.18.50.190,172.18.50.128,26,64,2886873728
9,5300,IMPRESSION,172.18.50.192/26,255.255.255.192,172.18.50.254,172.18.50.192,26,64,2886873792
9,1500,PROD,172.18.51.0/25,255.255.255.128,172.18.51.126,172.18.51.0,25,128,2886873856
9,900,TEST,172.18.51.128/25,255.255.255.128,172.18.51.254,172.18.51.128,25,128,2886873984
10,102,INFRA,10.50.80.0/24,255.255.255.0,10.50.80.1,10.50.80.0,24,256,171069440
10,5000,DMZ,172.18.52.0/23,255.255.254.0,172.18.53.254,172.18.52.0,23,512,2886874112
10,4000,DMZ_PUB,172.18.54.0/25,255.255.255.128,172.18.54.126,172.18.54.0,25,128,2886874624
10,2200,TOIP,172.18.54.128/26,255.255.255.192,172.18.54.190,172.18.54.128,26,64,2886874752
10,5300,IMPRESSION,172.18.54.192/26,255.255.255.192,172.18.54.254,172.18.54.192,26,64,2886874816
10,1500,PROD,172.18.55.0/25,255.255.255.128,172.18.55.126,172.18.55.0,25,128,2886874880
10,900,TEST,172.18.55.128/25,255.255.255.128,172.18.55.254,172.18.55.128,25,128,2886875008
11,112,INFRA,10.50.26.0/24,255.255.255.0,10.50.26.1,10.50.26.0,24,256,171055616
11,5000,DMZ,172.18.56.0/23,255.255.254.0,172.18.57.254,172.18.56.0,23,512,2886875136
11,4000,DMZ_PUB,172.18.58.0/25,255.255.255.128,172.18.58.126,172.18.58.0,25,128,2886875648
11,2200,TOIP,172.18.58.128/26,255.255.255.192,172.18.58.190,172.18.58.128,26,64,2886875776
11,5300,IMPRESSION,172.18.58.192/26,255.255.255.192,172.18.58.254,172.18.58.192,26,64,2886875840
11,1500,PROD,172.18.59.0/25,255.255.255.128,172.18.59.126,172.18.59.0,25,128,2886875904
11,900,TEST,172.18.59.128/25,255.255.255.128,172.18.59.254,172.18.59.128,25,128,2886876032
12,122,INFRA,10.50.46.0/24,255.255.255.0,10.50.46.1,10.50.46.0,24,256,171060736
12,5000,DMZ,172.18.60.0/23,255.255.254.0,172.18.61.254,172.18.60.0,23,512,2886876160
12,4000,DMZ_PUB,172.18.62.0/25,255.255.255.128,172.18.62.126,172.18.62.0,25,128,2886876672
12,2200,TOIP,172.18.62.128/26,255.255.255.192,172.18.62.190,172.18.62.128,26,64,2886876800
12,5300,IMPRESSION,172.18.62.192/26,255.255.255.192,172.18.62.254,172.18.62.192,26,64,2886876864
12,1500,PROD,172.18.63.0/25,255.255.255.128,172.18.63.126,172.18.63.0,25,128,2886876928
12,900,TEST,172.18.63.128/25,255.255.255.128,172.18.63.254,172.18.63.128,25,128,2886877056
13,132,INFRA,10.50.73.0/24,255.255.255.0,10.50.73.1,10.50.73.0,24,256,171067648
13,5000,DMZ,172.18.64.0/23,255.255.254.0,172.18.65.254,172.18.64.0,23,512,2886877184
13,4000,DMZ_PUB,172.18.66.0/25,255.255.255.128,172.18.66.126,172.18.66.0,25,128,2886877696
13,2200,TOIP,172.18.66.128/26,255.255.255.192,172.18.66.190,172.18.66.128,26,64,2886877824
